Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2019,Grover Beach,13574,13,0,3,1,9,239,56,151,32,1,505
2019,Guadalupe,7696,15,0,2,3,10,82,32,34,16,2,196
2019,Gustine,5896,21,0,2,4,15,116,32,54,30,3,277
2019,Hanford,57232,257,0,18,40,199,1242,131,900,211,15,3013
2019,Hawaiian Gardens,14320,76,0,5,24,47,225,68,101,56,3,605
2019,Hawthorne,87305,636,3,34,190,409,1485,199,930,356,7,4249
2019,Hayward,161588,552,5,54,275,218,4886,448,3197,1241,27,10903
2019,Healdsburg,12208,17,1,1,3,12,176,17,142,17,0,386
2019,Hemet,86082,343,5,23,121,194,2877,757,1547,573,21,6461
2019,Hercules,25789,31,0,5,15,11,341,31,278,32,0,744
2019,Hermosa Beach,19460,51,0,7,9,35,449,97,326,26,4,1004
2019,Hesperia,95915,462,8,35,111,308,1664,443,893,328,17,4269
2019,Hidden Hills,1903,1,0,1,0,0,18,10,7,1,0,38
2019,Highland,55686,362,7,19,90,246,906,167,511,228,8,2544
2019,Hillsborough,11521,5,0,0,1,4,97,46,49,2,0,204
2019,Hollister,40399,114,1,15,27,71,311,61,174,76,5,855
2019,Holtville,6774,14,0,1,2,11,70,13,53,4,4,172
2019,Hughson,7671,5,0,0,0,5,46,8,29,9,0,102
2019,Huntington Beach,201843,386,2,61,99,224,4144,535,3280,329,22,9082
2019,Huntington Park,58181,458,3,31,249,175,1595,214,861,520,9,4115
2019,Huron,7359,83,0,1,10,72,56,13,25,18,13,291
2019,Imperial,18090,5,0,0,1,4,56,10,36,10,0,122
2019,Imperial Beach,27583,72,0,5,16,51,331,57,195,79,1,807
2019,Indian Wells,5500,13,0,1,2,10,138,44,89,5,0,302
2019,Indio,92803,530,1,45,118,366,1880,304,1218,358,6,4826
2019,Industry,201,72,0,1,41,30,1180,156,899,125,7,2511
2019,Inglewood,109386,671,2,51,358,260,2321,308,1356,657,8,5992
2019,Ione,8454,11,0,1,1,9,46,9,35,2,0,114
2019,Irvine,292673,188,1,52,66,69,3823,574,3086,163,9,8031
2019,Irwindale,1469,26,0,1,8,17,240,73,139,28,3,535
2019,Isleton,849,7,1,0,0,6,4,1,2,1,0,22
2019,Jackson,4797,30,0,3,0,27,133,15,107,11,9,335
2019,Jurupa Valley,110111,317,6,7,86,218,2494,406,1346,742,8,5630
2019,Kensington,5407,5,0,1,1,3,48,15,25,8,0,106
2019,Kerman,15223,23,0,3,4,16,308,58,214,36,0,662
2019,King City,14170,19,0,3,9,7,148,43,80,25,10,344
2019,Kingsburg,12123,18,0,2,3,13,219,76,107,36,1,475
2019,La Canada Flintridge,20223,15,0,2,6,7,323,114,198,11,0,676
